student_id,method,theta,true_score,score,items,group_theta,group_score
0,CAT-EAP,0.0754336389015928,55.67495213910235,49.74809994516525,20,Sedang,Rendah
0,CAT-MLE,0.0754336389015928,55.67495213910235,65.11769631585233,20,Sedang,Tinggi
0,RB-Prior,0.0754336389015928,55.67495213910235,50.11257639112256,40,Sedang,Rendah
0,RB-NoPrior,0.0754336389015928,55.67495213910235,72.38644556596972,20,Sedang,Tinggi
1,CAT-EAP,-1.6019658118971685,22.669618871303506,27.655914473708,20,Sangat Rendah,Sangat Rendah
1,CAT-MLE,-1.6019658118971685,22.669618871303506,31.965337870149952,22,Sangat Rendah,Sangat Rendah
1,RB-Prior,-1.6019658118971685,22.669618871303506,43.12938816449347,30,Sangat Rendah,Sangat Rendah
1,RB-NoPrior,-1.6019658118971685,22.669618871303506,47.10042432814708,33,Sangat Rendah,Rendah
2,CAT-EAP,-0.24606248812994858,48.91455785958101,57.88960939550025,20,Rendah,Sedang
2,CAT-MLE,-0.24606248812994858,48.91455785958101,43.75106542411279,20,Rendah,Rendah
2,RB-Prior,-0.24606248812994858,48.91455785958101,50.87661263645386,40,Rendah,Rendah
2,RB-NoPrior,-0.24606248812994858,48.91455785958101,53.60028099754127,40,Rendah,Sedang
3,CAT-EAP,-0.8432465953161917,36.54930017744994,40.328061249211835,20,Sangat Rendah,Rendah
3,CAT-MLE,-0.8432465953161917,36.54930017744994,36.45960203725949,23,Sangat Rendah,Rendah
3,RB-Prior,-0.8432465953161917,36.54930017744994,49.60965223562808,40,Sangat Rendah,Rendah
3,RB-NoPrior,-0.8432465953161917,36.54930017744994,48.41886988076724,31,Sangat Rendah,Rendah
4,CAT-EAP,2.1709427174978138,89.48556540640158,88.42717839956927,25,Sangat Tinggi,Sangat Tinggi
4,CAT-MLE,2.1709427174978138,89.48556540640158,87.15703883359427,34,Sangat Tinggi,Sangat Tinggi
4,RB-Prior,2.1709427174978138,89.48556540640158,77.06919945725917,40,Sangat Tinggi,Sangat Tinggi
4,RB-NoPrior,2.1709427174978138,89.48556540640158,93.60313315926892,20,Sangat Tinggi,Sangat Tinggi
5,CAT-EAP,-0.1758858124323366,50.39417317333318,49.86010837035372,20,Sedang,Sedang
5,CAT-MLE,-0.1758858124323366,50.39417317333318,47.832853496033515,20,Sedang,Rendah
5,RB-Prior,-0.1758858124323366,50.39417317333318,51.01973684210527,40,Sedang,Rendah
5,RB-NoPrior,-0.1758858124323366,50.39417317333318,61.03216155572175,20,Sedang,Sedang
6,CAT-EAP,0.12320480678448567,56.67102139201362,54.74253117834634,20,Sedang,Sedang
6,CAT-MLE,0.12320480678448567,56.67102139201362,50.00995815280612,20,Sedang,Sedang
6,RB-Prior,0.12320480678448567,56.67102139201362,49.260308467107336,40,Sedang,Rendah
6,RB-NoPrior,0.12320480678448567,56.67102139201362,66.50246305418722,20,Sedang,Tinggi
7,CAT-EAP,0.5514853760404675,65.36486164645841,69.89268449292756,20,Tinggi,Tinggi
7,CAT-MLE,0.5514853760404675,65.36486164645841,63.78252618488366,21,Tinggi,Tinggi
7,RB-Prior,0.5514853760404675,65.36486164645841,52.71721444842174,40,Tinggi,Sedang
7,RB-NoPrior,0.5514853760404675,65.36486164645841,54.45205479452055,40,Tinggi,Sedang
8,CAT-EAP,0.043602446372453724,55.00940273062581,57.472901494807694,20,Sedang,Sedang
8,CAT-MLE,0.043602446372453724,55.00940273062581,56.07045833330974,20,Sedang,Sedang
8,RB-Prior,0.043602446372453724,55.00940273062581,54.025974025974016,40,Sedang,Sedang
8,RB-NoPrior,0.043602446372453724,55.00940273062581,57.585861953984676,40,Sedang,Sedang
9,CAT-EAP,1.695051040430753,84.25614422427678,75.84533743978938,20,Sangat Tinggi,Sangat Tinggi
9,CAT-MLE,1.695051040430753,84.25614422427678,79.72277150342092,20,Sangat Tinggi,Sangat Tinggi
9,RB-Prior,1.695051040430753,84.25614422427678,61.34094151212555,40,Sangat Tinggi,Sangat Tinggi
9,RB-NoPrior,1.695051040430753,84.25614422427678,74.29378531073448,20,Sangat Tinggi,Tinggi
10,CAT-EAP,-0.622649361734452,41.03780112947105,53.248614555206,20,Rendah,Sedang
10,CAT-MLE,-0.622649361734452,41.03780112947105,39.00031187164509,21,Rendah,Rendah
10,RB-Prior,-0.622649361734452,41.03780112947105,47.33955019199122,25,Rendah,Rendah
10,RB-NoPrior,-0.622649361734452,41.03780112947105,45.78825347758885,40,Rendah,Sangat Rendah
11,CAT-EAP,0.1946074552372427,58.152545149464295,54.18049093472136,20,Sedang,Sedang
11,CAT-MLE,0.1946074552372427,58.152545149464295,59.74240782456275,21,Sedang,Sedang
11,RB-Prior,0.1946074552372427,58.152545149464295,52.49376558603491,40,Sedang,Sedang
11,RB-NoPrior,0.1946074552372427,58.152545149464295,71.69811320754718,20,Sedang,Tinggi
12,CAT-EAP,-0.7424705856980482,38.583090576624116,33.61317935520613,20,Rendah,Sangat Rendah
12,CAT-MLE,-0.7424705856980482,38.583090576624116,43.58238932293708,20,Rendah,Rendah
12,RB-Prior,-0.7424705856980482,38.583090576624116,51.1574074074074,35,Rendah,Rendah
12,RB-NoPrior,-0.7424705856980482,38.583090576624116,45.94792812614596,40,Rendah,Sangat Rendah
13,CAT-EAP,-1.3200225112207058,27.47127436744125,39.291893454136826,20,Sangat Rendah,Rendah
13,CAT-MLE,-1.3200225112207058,27.47127436744125,29.72204318810046,23,Sangat Rendah,Sangat Rendah
13,RB-Prior,-1.3200225112207058,27.47127436744125,44.24137931034482,40,Sangat Rendah,Sangat Rendah
