method,group_theta,C_level,count,percentage
RB-NoPrior,Rendah,C3,2100,30.33367037411527
RB-NoPrior,Rendah,C4,1954,28.224758052867255
RB-NoPrior,Rendah,C5,463,6.687852087245413
RB-NoPrior,Rendah,C6,29,0.41889354326159184
RB-NoPrior,Sedang,C1,793,12.808916168631884
RB-NoPrior,Sedang,C2,932,15.054110806008723
RB-NoPrior,Sedang,C3,1426,23.03343563236957
RB-NoPrior,Sedang,C4,1791,28.929090615409464
RB-NoPrior,Sedang,C5,1016,16.41091907607818
RB-NoPrior,Sedang,C6,233,3.7635277015021806
RB-NoPrior,Tinggi,C1,715,12.391681109185441
RB-NoPrior,Tinggi,C2,825,14.298093587521663
RB-NoPrior,Tinggi,C3,1066,18.47487001733102
RB-NoPrior,Tinggi,C4,1353,23.44887348353553
RB-NoPrior,Tinggi,C5,1342,23.258232235701907
RB-NoPrior,Tinggi,C6,469,8.128249566724437
RB-NoPrior,Sangat Tinggi,C1,636,13.474576271186441
RB-NoPrior,Sangat Tinggi,C2,664,14.067796610169491
RB-NoPrior,Sangat Tinggi,C3,753,15.953389830508474
RB-NoPrior,Sangat Tinggi,C4,942,19.957627118644066
RB-NoPrior,Sangat Tinggi,C5,916,19.406779661016948
RB-NoPrior,Sangat Tinggi,C6,809,17.139830508474578
